CVE;advisory name;advisory URL;exploit type (local/remote)
CVE-1999-0101;rs_aix_host.sh;https://packetstormsecurity.com/files/50586/rs_aix_host.sh.html;unknown
CVE-1999-0209;Solaris ypupdated Command Execution;https://packetstormsecurity.com/files/82327/Solaris-ypupdated-Command-Execution.html;unknown
CVE-1999-1441;Linux Kernel 2.0 2.1 Send SIGIO Signal;https://packetstormsecurity.com/files/154456/Linux-Kernel-2.0-2.1-Send-SIGIO-Signal.html;unknown
CVE-2000-0284;UoW IMAP Server LSUB Buffer Overflow;https://packetstormsecurity.com/files/82240/UoW-IMAP-Server-LSUB-Buffer-Overflow.html;unknown
CVE-2000-0325;RFP2K04.txt;https://packetstormsecurity.com/files/21847/RFP2K04.txt.html;unknown
CVE-2001-0198;Apple Windows Quicktime Plugin 4.1.2 Overflow;https://packetstormsecurity.com/files/115697/Apple-Windows-Quicktime-Plugin-4.1.2-Overflow.html;remote
CVE-2001-0797;Solaris in.telnetd TTYPROMPT Buffer Overflow;https://packetstormsecurity.com/files/82329/Solaris-in.telnetd-TTYPROMPT-Buffer-Overflow.html;unknown
CVE-2001-0797;System V Derived bin login Extraneous Arguments Buffer Overflow;https://packetstormsecurity.com/files/82226/System-V-Derived-bin-login-Extraneous-Arguments-Buffer-Overflow.html;unknown
CVE-2001-0797;raptor_rlogin.c;https://packetstormsecurity.com/files/35500/raptor_rlogin.c.html;remote
CVE-2001-0800;Irix LPD tagprinter Command Execution;https://packetstormsecurity.com/files/82229/Irix-LPD-tagprinter-Command-Execution.html;unknown
CVE-2002-0002;w00nf stunnel.c;https://packetstormsecurity.com/files/30736/w00nf-stunnel.c.html;remote
CVE-2002-0082;Apache mod_ssl OpenSSL Remote Buffer Overflow;https://packetstormsecurity.com/files/153567/Apache-mod_ssl-OpenSSL-Remote-Buffer-Overflow.html;remote
CVE-2002-1472;HP UX LPD Command Execution;https://packetstormsecurity.com/files/82228/HP-UX-LPD-Command-Execution.html;unknown
CVE-2003-0001;Cisco ASA Ethernet Information Leak;https://packetstormsecurity.com/files/121969/Cisco-ASA-Ethernet-Information-Leak.html;unknown
CVE-2003-0003;rpcexp.c;https://packetstormsecurity.com/files/30976/rpcexp.c.html;remote
