linux-1.0;13-Mar-1994
linux-1.1.13;23-May-1994
linux-1.1.23;27-Jun-1994
linux-1.1.29;14-Jul-1994
linux-1.1.33;21-Jul-1994
linux-1.1.35;24-Jul-1994
linux-1.1.45;15-Aug-1994
linux-1.1.52;06-Oct-1994
linux-1.1.59;28-Oct-1994
linux-1.1.63;14-Nov-1994
linux-1.1.64;15-Nov-1994
linux-1.1.67;28-Nov-1994
linux-1.1.70;02-Dec-1994
linux-1.1.71;05-Dec-1994
linux-1.1.73;15-Dec-1994
linux-1.1.74;23-Dec-1994
linux-1.1.75;29-Dec-1994
linux-1.1.76;02-Jan-1995
linux-1.1.78;09-Jan-1995
linux-1.1.79;11-Jan-1995
linux-1.1.80;12-Jan-1995
linux-1.1.81;13-Jan-1995
linux-1.1.82;16-Jan-1995
linux-1.1.83;18-Jan-1995
linux-1.1.84;22-Jan-1995
linux-1.1.85;23-Jan-1995
linux-1.1.86;27-Jan-1995
linux-1.1.87;30-Jan-1995
linux-1.1.88;31-Jan-1995
linux-1.1.89;05-Feb-1995
linux-1.1.90;08-Feb-1995
linux-1.1.91;12-Feb-1995
linux-1.1.92;15-Feb-1995
linux-1.1.93;20-Feb-1995
linux-1.1.94;22-Feb-1995
linux-1.1.95;02-Mar-1995
linux-1.2.0;07-Mar-1995
linux-1.2.1;17-Mar-1995
linux-1.2.10;12-Jun-1995
linux-1.2.11;26-Jun-1995
linux-1.2.12;25-Jul-1995
linux-1.2.13;02-Aug-1995
linux-1.2.2;27-Mar-1995
linux-1.2.3;02-Apr-1995
linux-1.2.4;06-Apr-1995
linux-1.2.5;12-Apr-1995
linux-1.2.6;23-Apr-1995
linux-1.2.7;29-Apr-1995
linux-1.2.8;03-May-1995
linux-1.2.9;01-Jun-1995
linux-1.3.0;12-Jun-1995
linux-1.3.10;13-Jul-1995
linux-1.3.100;10-May-1996
linux-1.3.11;18-Jul-1995
linux-1.3.12;25-Jul-1995
linux-1.3.13;27-Jul-1995
linux-1.3.14;31-Jul-1995
linux-1.3.15;02-Aug-1995
linux-1.3.16;08-Aug-1995
linux-1.3.17;09-Aug-1995
linux-1.3.18;13-Aug-1995
linux-1.3.19;15-Aug-1995
linux-1.3.2;16-Jun-1995
linux-1.3.20;16-Aug-1995
linux-1.3.21;28-Aug-1995
linux-1.3.22;01-Sep-1995
linux-1.3.23;03-Sep-1995
linux-1.3.24;05-Sep-1995
